year,state_po,check,official,ours,diff,rel,n_counties,status
2000,ID,cand:Gore,138637,138637,0,0,NA,ok (<0.05%)
2000,IL,cand:Bush,2019421,2019421,0,0,NA,ok (<0.05%)
2000,IL,cand:Gore,2589026,2589026,0,0,NA,ok (<0.05%)
2000,IN,cand:Bush,1245836,1245836,0,0,NA,ok (<0.05%)
2000,IN,cand:Gore,901980,901980,0,0,NA,ok (<0.05%)
2000,KS,cand:Bush,622332,622332,0,0,NA,ok (<0.05%)
2000,KS,cand:Gore,399276,399276,0,0,NA,ok (<0.05%)
2000,KY,cand:Bush,872492,872492,0,0,NA,ok (<0.05%)
2000,KY,cand:Gore,638898,638898,0,0,NA,ok (<0.05%)
2000,LA,cand:Bush,927871,927871,0,0,NA,ok (<0.05%)
2000,LA,cand:Gore,792344,792344,0,0,NA,ok (<0.05%)
2000,MA,cand:Bush,878502,878502,0,0,NA,ok (<0.05%)
