year,state_po,district,off_total,off_dem,off_rep,our_dem,our_rep,our_total,n_counties,rel_tot,rel_dem,rel_rep,status_tot
1990,IL,13,176353,60305,116048,60305,116048,176353,3,0,0,0,ok (<0.05%)
1990,IL,14,167975,55592,112383,55592,112383,167975,9,0,0,0,ok (<0.05%)
1990,IL,15,119822,0,119812,0,119812,119822,13,0,NA,0,ok (<0.05%)
1990,IL,16,152166,83061,69105,83061,69105,152166,8,0,0,0,ok (<0.05%)
1990,IL,17,153442,102062,51380,102062,51380,153442,14,0,0,0,ok (<0.05%)
1990,IL,18,107370,0,105693,0,105693,107370,16,0,NA,0,ok (<0.05%)
1990,IL,19,171888,113958,55680,113958,55680,171888,18,0,0,0,ok (<0.05%)
1990,IL,20,196547,130114,66433,130114,66433,196547,14,0,0,0,ok (<0.05%)
1990,IL,21,144157,95208,0,95208,48949,144157,5,0,0,NA,ok (<0.05%)
1990,IL,22,165321,0,0,138425,0,165321,21,0,NA,NA,ok (<0.05%)
1990,IN,01,104370,68920,35450,68920,35450,104370,3,0,0,0,ok (<0.05%)
1990,IN,02,157475,93495,63980,93495,63980,157475,11,0,0,0,ok (<0.05%)
1990,IN,03,158651,80740,77911,80740,77911,158651,6,0,0,0,ok (<0.05%)
1990,IN,04,163762,99347,64415,99347,64415,163971,10,0.0012762423517055238,0,0,small (<0.5%)
1990,IN,05,153123,81373,71750,81373,71750,153123,14,0,0,0,ok (<0.05%)
1990,IN,06,183494,67024,116470,67024,116470,183494,11,0,0,0,ok (<0.05%)
1990,IN,07,153846,65248,88598,65248,88598,154550,14,0.004576004576004576,0,0,small (<0.5%)
1990,IN,08,178110,97465,80645,97465,80645,178110,15,0,0,0,ok (<0.05%)
1990,IN,09,155851,107526,48325,107526,48325,155851,21,0,0,0,ok (<0.05%)
1990,IN,10,104411,69362,35049,69362,35049,104411,1,0,0,0,ok (<0.05%)
1990,IA,01,90193,0,90042,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,IA,02,166106,81008,82650,NA,NA,NA,NA,NA,NA,NA,MISSING
