year,state_po,district,off_dem,off_rep,off_sum,off_total,our_dem,our_rep,our_total,n_counties,rel_dem,rel_rep,rel_tot,s_dem,s_rep,s_tot
2004,IL,11,121903,173057,294960,294960,121903,173057,294960,8,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,12,198962,82677,286435,286435,198962,82677,286435,11,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,13,107836,200472,308312,308312,107836,200472,308312,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,14,87590,191618,279208,279208,87590,191618,279208,8,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,15,113625,178114,291739,291739,113625,178114,291739,22,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,16,91452,204350,295806,295806,91452,204350,295806,9,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,17,172320,111680,284000,284000,172320,111680,284000,23,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,18,91548,216047,307595,307595,91548,216047,307595,20,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,19,94303,213451,307754,307754,94303,213451,307754,30,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IN,01,178406,82858,261264,261264,178406,82858,261264,5,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IN,02,115513,140496,259355,259355,115513,140496,259355,12,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IN,03,76232,171389,247621,247621,76232,171389,247621,8,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IN,04,77574,190445,274136,274136,77574,190445,274136,12,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IN,05,82637,228718,318363,318363,82637,228718,318363,11,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IN,06,85123,182529,272049,272049,85123,182529,272049,19,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IN,07,121303,97491,223175,223175,121303,97491,223175,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IN,08,121522,145576,272778,272778,121522,145576,272778,18,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IN,09,140772,142197,287510,287510,140772,142197,287510,20,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,KS,01,0,239776,264293,264293,0,239776,264293,69,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,KS,02,121532,165325,294436,294436,121532,165325,294436,26,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,KS,03,184050,145542,335739,335739,184050,145542,335739,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,KS,04,81388,173151,261915,261915,81388,173151,261915,11,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,KY,01,85229,175972,261387,261387,85229,175972,261201,34,0,0,-7.115885640831411e-4,ok (<0.05%),ok (<0.05%),small (<0.5%)
2004,KY,02,87585,185394,272979,272979,87585,185394,272979,21,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,KY,03,124040,197736,328154,328154,124040,197736,328139,1,0,0,-4.571024579922841e-5,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,KY,04,129876,160982,295927,295927,129876,160982,295927,24,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,KY,05,0,177579,177579,177579,0,177579,177579,29,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,KY,06,175355,119716,299217,299217,175355,119716,299217,16,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,LA,01,54214,233683,287897,287897,54214,233683,287897,6,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
