year,state_fips,po,district,kind,candidate,party_group,votes,new,method,evidence
1992,6,CA,30,placeholder,Democratic Candidate,DEM,48800,Xavier Becerra,vote_total,wikipedia votes 48800
1992,6,CA,30,placeholder,Other Candidate 3,OTHER,14709,"Blase Bonpane / Elizabeth A. Nakano / Andrew ""Drew"" Consalvo",pooled_minor_sum,sum of 3 wikipedia candidates = 14709
1992,6,CA,30,placeholder,Republican Candidate,REP,20034,Morry Waksberg,vote_total,wikipedia votes 20034
1992,6,CA,31,placeholder,Democratic Candidate,DEM,68324,Matthew G. Martinez,vote_total,wikipedia votes 68324
1992,6,CA,31,placeholder,Other Candidate 1,OTHER,0,Alaric Arrender,vote_total,wikipedia votes 0
1992,6,CA,31,placeholder,Republican Candidate,REP,40873,Reuben D. Franco,vote_total,wikipedia votes 40873
1992,6,CA,32,placeholder,Democratic Candidate,DEM,150644,Julian C. Dixon,vote_total,wikipedia votes 150644
1992,6,CA,32,placeholder,Other Candidate 1,OTHER,22168,Other / write-in candidates,aggregate_label,generic pooled or unnamed row
1992,6,CA,32,placeholder,Republican Candidate,REP,0,NA,unmatched,NA
1992,6,CA,33,placeholder,Democratic Candidate,DEM,32010,Lucille Roybal-Allard,vote_total,wikipedia votes 32010
1992,6,CA,33,placeholder,Other Candidate 2,OTHER,3341,Tim Delia / Dale S. Olvera,pooled_minor_sum,sum of 2 wikipedia candidates = 3341
1992,6,CA,33,placeholder,Republican Candidate,REP,15428,Robert Guzman,vote_total,wikipedia votes 15428
1992,6,CA,34,placeholder,Democratic Candidate,DEM,91738,Esteban Torres,vote_total,wikipedia votes 91738
1992,6,CA,34,placeholder,Other Candidate 1,OTHER,7073,"Carl M. ""Marty"" Swinney / M. V. Paul Worland",pooled_minor_sum,sum of 2 wikipedia candidates = 7073
1992,6,CA,34,placeholder,Republican Candidate,REP,50907,J. Jay Hernandez,vote_total,wikipedia votes 50907
1992,6,CA,35,placeholder,Democratic Candidate,DEM,102941,Maxine Waters,vote_total,wikipedia votes 102941
1992,6,CA,35,placeholder,Other Candidate 2,OTHER,4418,Alice Mae Miles / Carin Rogers / Gordon Mego,pooled_minor_sum,sum of 3 wikipedia candidates = 4418
1992,6,CA,35,placeholder,Republican Candidate,REP,17417,Nate Truman,vote_total,wikipedia votes 17417
1992,6,CA,36,placeholder,Democratic Candidate,DEM,125751,Jane Harman,vote_total,wikipedia votes 125751
1992,6,CA,36,placeholder,Other Candidate 3,OTHER,24322,Other / write-in candidates,aggregate_label,generic pooled or unnamed row
1992,6,CA,36,placeholder,Republican Candidate,REP,109684,Joan Milke Flores,vote_total,wikipedia votes 109684
1992,6,CA,37,placeholder,Democratic Candidate,DEM,97159,Walter R. Tucker III,vote_total,wikipedia votes 97159
