state,cd,year,total_vote,rep_vote,rep_candidate,dem_vote,dem_candidate,other_vote,plurality_vote,plurality_party,source_volume,confidence
FLORIDA,21,2014,22.0,2012.0,"HASNER, ADAM",313071.0,"FRANKEL, LOIS",,28971.0,D,31,low
FLORIDA,21,2012,23.0,2014.0,"KAUFMAN, JOSEPH JOE",164788.0,"WASSERMAN SCHULTZ, DEBBIE*",,41750.0,D,31,low
FLORIDA,22,2014,23.0,2012.0,"HARRINGTON, KAREN",275430.0,"WASSERMAN SCHULTZ, DEBBIE*",,76109.0,D,31,low
FLORIDA,22,2012,24.0,2014.0,"NEREE, DUFIRSTSON",149918.0,"WILSON, FREDERICA S.*",,113953.0,D,31,low
FLORIDA,23,2014,25.0,2012.0,"DIAZBALART, MARIO*",200229.0,,,151466.0,R,31,low
FLORIDA,23,2012,26.0,2014.0,"CURBELO, CARLOS",161337.0,"GARCIA, JOE*",,4725.0,R,31,low
FLORIDA,24,2014,26.0,2012.0,"RIVERA, DAVID*",252957.0,"GARCIA, JOE",,26874.0,D,31,low
FLORIDA,24,2012,27.0,2012.0,"ROSLEHTINEN, ILEANA*",230171.0,"YEVANCEY, MANNY",,53468.0,R,31,low
GEORGIA,1,2014,156512.0,95337.0,"CARTER, EARL L. BUDDY",61175.0,"REESE, BRIAN CORWIN",,34162.0,R,31,low
GEORGIA,1,2012,249580.0,157181.0,"KINGSTON, JACK*",92399.0,"MESSINGER, LESLI",,64782.0,R,31,low
GEORGIA,2,2014,162900.0,66537.0,"DUKE, GREG",96363.0,"BISHOP, SANFORD D. Jr.*",,29826.0,D,31,low
GEORGIA,2,2012,255161.0,92410.0,"HOUSE, JOHN",162751.0,"BISHOP, SANFORD D. Jr.*",,70341.0,D,31,low
GEORGIA,3,2014,156277.0,156277.0,"WESTMORELAND, LYNN A.*",156277.0,,,156277.0,R,31,low
GEORGIA,3,2012,232485.0,232380.0,NoOoaNo,105.0,"WESTMORELAND, LYNN A.*",,232380.0,R,31,low
GEORGIA,4,2014,161320.0,161211.0,"JOHNSON, HENRY C. HANK Jr.*",109.0,,,161211.0,D,31,low
GEORGIA,4,2012,283962.0,75041.0,"VAUGHN, J. CHRIS",208861.0,"JOHNSON, HENRY C. HANK Jr.*",,133820.0,D,31,low
GEORGIA,5,2014,170326.0,170326.0,"LEWIS, JOHN*",170326.0,,,170326.0,D,31,low
GEORGIA,5,2012,277689.0,43335.0,"STOPECK, HOWARD",234330.0,"LEWIS, JOHN*",,190995.0,D,31,low
GEORGIA,6,2014,2014.0,210504.0,"PRICE, TOM*",139018.0,"MONTIGEL, ROBERT",,67532.0,R,31,low
GEORGIA,6,2012,2012.0,294034.0,"PRICE, TOM*",189669.0,"KAZANOW, JEFF",,85304.0,R,31,low
